run_accession	submitted_ftp
ERR1713331	ALB.17
ERR1713332	AUS.18
ERR1713333	AUS.18a
ERR1713334	AUS.70
ERR1713335	BGR.66
ERR1713336	BRA.53
ERR1713337	BRA.53a
ERR1713338	BWA.19
ERR1713339	CAN.22
ERR1713340	CAN.22a
ERR1713341	CAN.22b
ERR1713342	CAN.22c
ERR1713343	CHE.67
ERR1713344	CHN.64
ERR1713345	CIV.13
ERR1713346	COL.2
ERR1713347	CZE.23
ERR1713348	DEU.27
ERR1713349	DNK.71_RA
ERR1713350	DNK.71_RD
ERR1713351	DNK.71_RL
ERR1713352	ECU.14
ERR1713353	ECU.14a
ERR1713354	ESP.75
ERR1713355	ETH.24
ERR1713356	FIN.25
ERR1713357	GEO.59
ERR1713358	GHA.4
ERR1713359	GMB.10
ERR1713360	HRV.68
ERR1713361	HUN.61
ERR1713362	IND.11
ERR1713363	IRL.69
ERR1713364	IRN.12
ERR1713365	ISL.28
ERR1713366	ISR.29
ERR1713367	ITA.30
ERR1713368	KAZ.6
ERR1713369	KEN.72
ERR1713370	KHM.21
ERR1713371	LKA.40
ERR1713372	LUX.32
ERR1713373	LVA.31
ERR1713374	MDA.65
ERR1713375	MKD.62
ERR1713376	MLT.63
ERR1713377	MYS.54
ERR1713378	NGA.50
ERR1713379	NLD.43
ERR1713380	NOR.34
ERR1713381	NPL.33
ERR1713382	NZL.56
ERR1713383	OL.36
ERR1713384	PAK.7
ERR1713385	PER.35
ERR1713386	SEN.8
ERR1713387	SGP.52
ERR1713388	SRB.37
ERR1713389	SVK.9
ERR1713390	SVN.38
ERR1713391	SWE.41
ERR1713392	SWE.41a
ERR1713393	TCD.1
ERR1713394	TGO.44
ERR1713395	TUR.46
ERR1713396	TZA.15
ERR1713397	USA.74
ERR1713398	USA.74a
ERR1713399	USA.74b
ERR1713400	USA.74c
ERR1713401	USA.74d
ERR1713402	USA.74e
ERR1713403	USA.74f
ERR1713404	USA.74g
ERR1713405	USA.74h
ERR1713406	USA.74i
ERR1713407	VNM.48
ERR1713408	XK.60
ERR1713409	ZAF.39
ERR1713410	ZMB.49
ERR1713411	ZMB.49b
ERR1725938	ALB.17_1
ERR1725939	AUS.18_1
ERR1725940	AUS.18_2
ERR1725941	AUS.18a_1
ERR1725942	AUS.18a_2
ERR1725943	AUS.18a_3
ERR1725944	AUS.18a_4
ERR1725945	AUS.70_1
ERR1725946	AUS.70_2
ERR1725947	BGR.66_1
ERR1725948	BGR.66_2
ERR1725949	BRA.53_1
ERR1725950	BRA.53a_1
ERR1725951	BRA.53a_2
ERR1725952	BWA.19_1
ERR1725953	BWA.19_2
ERR1725954	CAN.22_1
ERR1725955	CAN.22a_1
ERR1725956	CAN.22a_2
ERR1725957	CAN.22a_3
ERR1725958	CAN.22a_4
ERR1725959	CAN.22b_1
ERR1725960	CAN.22b_2
ERR1725961	CHE.67_1
ERR1725962	CHE.67_2
ERR1725963	CHE.67_3
ERR1725964	CHE.67_4
ERR1725965	CIV.13_1
ERR1725966	CZE.23_1
ERR1725967	DEU.27_1
ERR1725968	DEU.27_2
ERR1725969	ESP.75_1
ERR1725970	ESP.75_2
ERR1725971	ESP.75_3
ERR1725972	ESP.75_4
ERR1725973	FIN.25_1
ERR1725974	GEO.59_1
ERR1725975	GEO.59_2
ERR1725976	HRV.68_1
ERR1725977	HRV.68_2
ERR1725978	IND.11_1
ERR1725979	IRL.69_1
ERR1725980	IRL.69_2
ERR1725981	IRN.12_1
ERR1725982	ISL.28_1
ERR1725983	ISR.29_1
ERR1725984	ISR.29_2
ERR1725985	KEN.72_1
ERR1725986	KEN.72_2
ERR1725987	LVA.31_1
ERR1725988	MDA.65_1
ERR1725989	MDA.65_2
ERR1725990	MKD.62_1
ERR1725991	MKD.62_2
ERR1725992	MLT.63_1
ERR1725993	MLT.63_2
ERR1725994	MYS.54_1
ERR1725995	MYS.54_2
ERR1725996	NGA.50_1
ERR1725997	NLD.43_1
ERR1725998	NLD.43_2
ERR1725999	NOR.34_1
ERR1726000	POL.36_1
ERR1726001	SGP.52_1
ERR1726002	SRB.37_1
ERR1726003	SVK.9_1
ERR1726004	SVN.38_1
ERR1726005	SWE.41a_1
ERR1726006	SWE.41a_2
ERR1726007	TCD.1_1
ERR1726008	TCD.1_2
ERR1726009	TUR.46_1
ERR1726010	USA.74a_1
ERR1726011	USA.74a_2
ERR1726012	USA.74b_1
ERR1726013	USA.74b_2
ERR1726014	USA.74b_3
ERR1726015	USA.74b_4
ERR1726016	USA.74d_1
ERR1726017	USA.74d_2
ERR1726018	USA.74e_1
ERR1726019	USA.74e_2
ERR1726020	USA.74f_1
ERR1726021	USA.74f_2
ERR1726022	USA.74f_3
ERR1726023	USA.74f_4
ERR1726024	USA.74g_1
ERR1726025	USA.74g_2
ERR1726026	USA.74g_3
ERR1726027	USA.74g_4
ERR1726028	USA.74g_5
ERR1726029	USA.74g_6
ERR1726030	ZAF.39_1
ERR1726031	ZMB.49_1
ERR1726032	ZMB.49b_1
ERR1726033	ZMB.49b_2
ERR1726034	ZMB.49b_3
ERR1726035	ZMB.49b_4
ERR2592244	17
ERR2592245	18
ERR2592246	70
ERR2592247	66
ERR2592248	53
ERR2592249	19
ERR2592250	22b
ERR2592251	67
ERR2592252	13
ERR2592253	23
ERR2592254	27
ERR2592255	25
ERR2592256	59
ERR2592257	68
ERR2592258	11
ERR2592259	12
ERR2592260	28
ERR2592261	72
ERR2592262	31
ERR2592263	62
ERR2592264	54
ERR2592265	50
ERR2592266	43
ERR2592267	34
ERR2592268	36
ERR2592269	52
ERR2592270	37
ERR2592271	38
ERR2592272	1
ERR2592273	46
ERR2592274	74a
ERR2592275	74b
ERR2592276	74c
ERR2592277	74d
ERR2592278	74e
ERR2592279	74f
ERR2592280	74g
ERR2592281	39
ERR2592282	49
ERR2592283	49b
ERR2592328	18
ERR2592329	22
ERR2592330	22b
ERR2592331	67
ERR2592332	27
ERR2592333	14a
ERR2592334	75
ERR2592335	68
ERR2592336	31
ERR2592337	54
ERR2592338	43
ERR2592339	1
ERR2592340	74b
ERR2592341	74f
ERR2592342	74g
ERR2592343	49b
